"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 10:53:19 GMT 2024","Tue Sep 17 10:53:20 GMT 2024","1012","","Second Suite","","","","Test 6",""
"passed","Tue Sep 17 10:53:18 GMT 2024","Tue Sep 17 10:53:19 GMT 2024","1007","","Second Suite","","","","Test 5",""
"passed","Tue Sep 17 10:53:19 GMT 2024","Tue Sep 17 10:53:20 GMT 2024","1021","","First Suite","","","","Test 3",""
"failed","Tue Sep 17 10:53:17 GMT 2024","Tue Sep 17 10:53:18 GMT 2024","1070","","First Suite","","","","Test 1",""
"passed","Tue Sep 17 10:53:18 GMT 2024","Tue Sep 17 10:53:19 GMT 2024","1007","","Third Suite","","","","Test 8",""
"passed","Tue Sep 17 10:53:18 GMT 2024","Tue Sep 17 10:53:19 GMT 2024","1009","","First Suite","","","","Test 2",""
"passed","Tue Sep 17 10:53:17 GMT 2024","Tue Sep 17 10:53:18 GMT 2024","1027","","Second Suite","","","","Test 4",""
"passed","Tue Sep 17 10:53:17 GMT 2024","Tue Sep 17 10:53:18 GMT 2024","1049","","Third Suite","","","","Test 7",""
"passed","Tue Sep 17 10:53:19 GMT 2024","Tue Sep 17 10:53:19 GMT 2024","6","","Third Suite","","","","Test 9",""
