"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Second Suite","3","0","","0"
"0","","0","Third Suite","3","0","","0"
"0","","1","First Suite","2","0","","0"
