"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 10:36:20 GMT 2024","Tue Sep 17 10:36:21 GMT 2024","1071","","Second Suite","","","","Test 4",""
"passed","Tue Sep 17 10:36:20 GMT 2024","Tue Sep 17 10:36:21 GMT 2024","1076","","Third Suite","","","","Test 7",""
"passed","Tue Sep 17 10:36:22 GMT 2024","Tue Sep 17 10:36:22 GMT 2024","5","","Third Suite","","","","Test 9",""
"passed","Tue Sep 17 10:36:21 GMT 2024","Tue Sep 17 10:36:22 GMT 2024","1009","","Second Suite","","","","Test 5",""
"passed","Tue Sep 17 10:36:22 GMT 2024","Tue Sep 17 10:36:23 GMT 2024","1009","","Second Suite","","","","Test 6",""
"passed","Tue Sep 17 10:36:21 GMT 2024","Tue Sep 17 10:36:22 GMT 2024","1009","","Third Suite","","","","Test 8",""
"passed","Tue Sep 17 10:36:21 GMT 2024","Tue Sep 17 10:36:23 GMT 2024","1009","","First Suite","","","","Test 2",""
"passed","Tue Sep 17 10:36:23 GMT 2024","Tue Sep 17 10:36:24 GMT 2024","1009","","First Suite","","","","Test 3",""
"failed","Tue Sep 17 10:36:20 GMT 2024","Tue Sep 17 10:36:21 GMT 2024","1091","","First Suite","","","","Test 1",""
