"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 17 10:46:02 GMT 2024","Tue Sep 17 10:46:03 GMT 2024","1008","","Second Suite","","","","Test 6",""
"passed","Tue Sep 17 10:46:00 GMT 2024","Tue Sep 17 10:46:01 GMT 2024","1061","","Second Suite","","","","Test 4",""
"passed","Tue Sep 17 10:46:02 GMT 2024","Tue Sep 17 10:46:02 GMT 2024","7","","Third Suite","","","","Test 9",""
"passed","Tue Sep 17 10:46:01 GMT 2024","Tue Sep 17 10:46:02 GMT 2024","1009","","First Suite","","","","Test 2",""
"passed","Tue Sep 17 10:46:01 GMT 2024","Tue Sep 17 10:46:02 GMT 2024","1012","","Second Suite","","","","Test 5",""
"failed","Tue Sep 17 10:46:00 GMT 2024","Tue Sep 17 10:46:01 GMT 2024","1082","","First Suite","","","","Test 1",""
"passed","Tue Sep 17 10:46:02 GMT 2024","Tue Sep 17 10:46:03 GMT 2024","1010","","First Suite","","","","Test 3",""
"passed","Tue Sep 17 10:46:01 GMT 2024","Tue Sep 17 10:46:02 GMT 2024","1012","","Third Suite","","","","Test 8",""
"passed","Tue Sep 17 10:46:00 GMT 2024","Tue Sep 17 10:46:01 GMT 2024","1058","","Third Suite","","","","Test 7",""
